City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,ola,59.5833,151.2833,16.19,85,2.38,100,RU,1691066258
299,fisterra,42.9049,-9.2629,22.08,68,8.76,2,ES,1691066259
300,bicas,-21.7253,-43.0594,22.09,49,1.77,0,BR,1691066259
301,divrigi,39.371,38.1137,33.21,20,5.68,2,TR,1691066260
302,quelimane,-17.8786,36.8883,24.97,53,4.12,75,MZ,1691066261
303,antsiranana,-12.2787,49.2917,28.42,51,4.12,40,MG,1691066133
304,ancud,-41.8697,-73.8203,4.04,78,0.91,14,CL,1691066261
305,manta,-0.95,-80.7333,23.89,83,3.58,75,EC,1691066261
306,bengkulu,-3.8004,102.2655,25.55,89,2.35,79,ID,1691065721
307,kalmunai,7.4167,81.8167,30.46,66,0.85,28,LK,1691066097
308,borovskoy,53.8,64.15,23.12,62,4.66,62,KZ,1691066262
309,mahoba,25.2833,79.8667,30.79,69,5.35,100,IN,1691066262
310,yemetsk,63.4721,41.7941,27.61,40,1.82,8,RU,1691066263
311,pangai,-19.8,-174.35,22.06,83,8.23,20,TO,1691066263
312,khandyga,62.6667,135.6,13.77,72,1.63,8,RU,1691066263
313,ressano garcia,-25.442,31.9913,20.97,42,2.08,79,MZ,1691066263
314,port antonio,18.18,-76.4612,30.0,73,3.01,96,JM,1691066264
315,dawson creek,55.7666,-120.2362,10.8,100,0.0,100,CA,1691066264
316,steinkjer,64.193,11.3851,16.52,59,1.48,48,NO,1691066265
317,murray bridge,-35.1167,139.2667,21.85,46,7.0,12,AU,1691066265
318,lihue,21.9789,-159.3672,26.77,78,6.17,40,US,1691066266
319,chehalis,46.662,-122.964,15.8,96,0.0,100,US,1691066266
320,cafayate,-26.073,-65.9761,18.38,43,2.91,1,AR,1691066266
321,padang,-0.9492,100.3543,29.03,85,1.69,97,ID,1691065834
322,noshiro,40.2039,140.0242,24.95,91,2.12,41,JP,1691066261
323,tofol,5.3248,163.0078,28.7,76,4.54,21,FM,1691066267
324,cole harbour,44.6724,-63.4751,21.21,74,1.54,20,CA,1691066267
325,yambio,4.5721,28.3955,28.09,64,1.55,99,SS,1691066267
326,mount isa,-20.7333,139.5,17.87,48,3.09,0,AU,1691066267
327,santa terezinha,-29.9002,-50.0904,17.63,93,4.73,100,BR,1691066268
328,wuhai,39.6647,106.8122,29.25,32,8.97,72,CN,1691066268
329,sibolga,1.7427,98.7792,25.96,85,1.11,100,ID,1691066268
330,kamaishi,39.2667,141.8833,24.4,94,4.18,10,JP,1691066145
331,jennings,38.7192,-90.2604,23.01,96,2.06,100,US,1691066269
332,kamina,-8.7386,24.9906,31.02,19,2.84,9,CD,1691066270
333,sosnovo-ozerskoye,52.5249,111.5418,14.8,79,2.16,100,RU,1691066270
334,villiers,-27.0303,28.6006,16.26,23,1.44,0,ZA,1691066270
335,shalqar,47.8333,59.6,33.61,20,6.24,3,KZ,1691066271
336,kokstad,-30.5472,29.4241,19.47,19,1.55,0,ZA,1691066271
337,mount pearl,47.5166,-52.7813,20.25,75,5.14,75,CA,1691066272
338,iqaluit,63.7506,-68.5145,5.85,87,2.06,75,CA,1691066272
339,mariinsk,56.2139,87.7472,23.66,69,2.38,22,RU,1691066272
340,minas de marcona,-15.2119,-75.1103,12.38,79,2.87,72,PE,1691066272
341,peace river,56.2501,-117.286,15.92,100,5.14,100,CA,1691066273
342,turpan,42.9333,89.1667,40.3,15,7.48,100,CN,1691066273
343,stjordalshalsen,63.4681,10.9262,19.95,68,4.63,40,NO,1691066273
344,ulsteinvik,62.3432,5.8487,19.39,87,4.17,80,NO,1691066274
345,cape canaveral,28.4058,-80.6048,30.6,75,4.12,0,US,1691066275
346,gizo,-8.103,156.8419,25.64,90,4.13,100,SB,1691066275
347,harper,4.375,-7.7169,26.46,75,4.77,90,LR,1691066275
348,chernyshevskiy,63.0128,112.4714,12.42,97,3.4,100,RU,1691066275
349,kurmuk,10.55,34.2833,25.14,80,1.69,100,SD,1691066276
350,ampanihy,-24.7,44.75,22.48,40,8.62,0,MG,1691066276
351,iron river,46.0927,-88.6423,20.42,80,3.67,9,US,1691066276
352,iskateley,67.6803,53.1512,27.74,43,2.43,0,RU,1691066277
353,tolanaro,-25.0319,46.9987,21.04,56,6.17,75,MG,1691066277
354,kragero,58.8693,9.4149,23.03,60,2.71,97,NO,1691066277
355,bennington,42.8781,-73.1968,19.72,75,1.54,0,US,1691066277
356,nibaliw central,16.1275,120.4027,26.36,90,1.87,99,PH,1691066278
357,enewetak,11.3474,162.3373,28.67,77,5.68,63,MH,1691066278
358,zayed city,24.3768,54.589,40.08,50,7.72,0,AE,1691066279
